date,pm10,so2,co,o3,no2,max,tempmax,tempmin,temp,feelslike,dew,humidity,precip,precipcover,windspeed,winddir,cloudcover,uvindex,solarenergy,next_day_aqi,aqi_category,month,day_of_week,dayofweek,is_weekend
2016-01-27,80.0,43.0,58.0,81.0,21.0,81.0,32.39,26.0,28.83,34.0,77.6,82.0,0.272,8.33,11.8,325.4,64.1,8,19.7,77.0,Moderate,1,2,2,False
2016-01-28,64.0,42.0,30.0,77.0,15.0,77.0,31.72,26.0,28.61,32.83,77.1,81.8,0.012,4.17,12.5,343.1,63.2,8,22.1,83.0,Moderate,1,3,3,False
2016-01-29,69.0,44.0,29.0,83.0,16.0,83.0,33.39,25.28,29.28,33.72,76.1,76.7,0.0,0.0,11.7,326.8,43.5,9,23.8,80.0,Moderate,1,4,4,False
2016-01-30,80.0,42.0,24.0,62.0,14.0,80.0,31.39,25.44,28.22,32.5,77.1,83.5,0.012,4.17,13.9,295.9,72.8,8,18.7,80.0,Moderate,1,5,5,True
2016-01-31,80.0,42.0,25.0,51.0,12.0,80.0,31.72,24.0,27.78,31.17,76.5,84.3,0.27,12.5,13.1,294.4,69.1,8,17.7,71.0,Moderate,1,6,6,True
2016-02-01,71.0,42.0,22.0,49.0,11.0,71.0,30.72,24.0,27.17,30.06,76.4,86.7,1.953,16.67,12.8,290.2,76.6,8,18.4,52.0,Moderate,2,0,0,False
2016-02-02,52.0,40.0,29.0,51.0,17.0,52.0,31.0,24.67,27.44,30.28,76.6,86.1,0.724,20.83,11.8,290.0,74.4,8,18.5,57.0,Moderate,2,1,1,False
2016-02-03,41.0,43.0,27.0,57.0,15.0,57.0,31.72,25.0,28.22,31.39,74.6,77.1,0.0,0.0,11.4,269.1,66.3,7,11.8,68.0,Moderate,2,2,2,False
2016-02-04,68.0,45.0,25.0,60.0,18.0,68.0,31.0,25.0,28.06,31.89,76.1,81.7,0.043,8.33,10.8,272.6,62.3,4,11.9,61.0,Moderate,2,3,3,False
2016-02-05,61.0,45.0,27.0,60.0,17.0,61.0,31.72,25.72,28.39,32.61,76.5,81.0,0.116,12.5,9.4,286.6,67.8,8,16.4,87.0,Moderate,2,4,4,False
2016-02-06,65.0,45.0,35.0,87.0,17.0,87.0,33.0,25.0,28.39,32.61,77.0,82.9,0.282,8.33,12.5,290.0,62.1,8,18.8,64.0,Moderate,2,5,5,True
2016-02-07,64.0,39.0,38.0,59.0,11.0,64.0,32.39,25.28,28.06,32.06,77.3,85.2,0.168,16.67,11.3,288.7,71.6,6,14.1,49.0,Good,2,6,6,True
2016-02-08,49.0,40.0,27.0,48.0,10.0,49.0,30.0,25.0,27.11,30.06,77.5,90.1,0.477,16.67,15.0,278.2,73.3,7,16.6,53.0,Moderate,2,0,0,False
2016-02-09,22.0,41.0,19.0,53.0,7.0,53.0,30.72,24.0,26.56,28.33,76.1,89.0,1.995,16.67,15.9,266.2,66.0,6,13.2,44.0,Good,2,1,1,False
2016-02-10,39.0,43.0,30.0,44.0,10.0,44.0,29.72,24.56,26.83,28.94,75.9,86.6,0.028,4.17,10.0,265.7,64.1,5,9.2,65.0,Moderate,2,2,2,False
2016-02-11,53.0,43.0,51.0,65.0,11.0,65.0,30.0,25.0,26.78,28.56,75.5,86.2,0.515,4.17,14.8,254.0,68.7,3,7.1,52.0,Moderate,2,3,3,False
2016-02-12,46.0,43.0,40.0,52.0,15.0,52.0,29.72,24.28,26.28,27.72,76.0,90.2,0.544,12.5,8.2,258.6,67.3,4,7.9,114.0,Unhealthy,2,4,4,False
2016-02-13,73.0,31.0,99.0,114.0,23.0,114.0,31.39,24.28,27.83,31.06,76.2,83.7,0.023,4.17,8.0,64.0,67.9,7,12.0,96.0,Moderate,2,5,5,True
2016-02-14,68.0,28.0,54.0,96.0,15.0,96.0,32.39,25.0,27.17,28.94,75.8,85.1,0.185,12.5,20.0,253.8,69.1,10,21.9,63.0,Moderate,2,6,6,True
2016-02-15,55.0,28.0,44.0,63.0,12.0,63.0,32.39,24.0,27.83,31.39,76.8,85.3,0.004,4.17,10.3,295.1,60.8,8,19.0,84.0,Moderate,2,0,0,False
2016-02-16,84.0,28.0,33.0,52.0,15.0,84.0,30.39,24.0,27.67,31.28,76.2,83.5,0.009,4.17,10.1,331.7,52.6,7,15.8,71.0,Moderate,2,1,1,False
2016-02-17,71.0,27.0,33.0,58.0,11.0,71.0,29.61,24.28,26.67,28.78,76.2,88.6,2.098,20.83,9.2,248.0,63.0,8,16.6,72.0,Moderate,2,2,2,False
2016-02-18,64.0,28.0,72.0,65.0,16.0,72.0,31.72,24.0,27.94,31.0,75.8,81.8,0.0,0.0,13.8,269.0,55.5,8,19.6,85.0,Moderate,2,3,3,False
2016-02-19,78.0,27.0,56.0,85.0,16.0,85.0,31.0,25.28,28.44,32.56,76.4,80.6,0.008,4.17,11.4,328.9,52.3,9,21.6,78.0,Moderate,2,4,4,False
2016-02-20,78.0,27.0,47.0,68.0,15.0,78.0,30.72,25.0,28.0,31.89,76.5,82.9,0.001,4.17,9.5,307.1,58.1,9,20.9,83.0,Moderate,2,5,5,True
2016-02-21,83.0,27.0,42.0,65.0,14.0,83.0,31.0,26.0,28.0,31.61,76.2,82.2,0.04,4.17,12.1,293.8,65.9,7,15.5,65.0,Moderate,2,6,6,True
2016-02-22,65.0,26.0,42.0,64.0,13.0,65.0,31.39,26.0,28.39,32.67,76.4,81.0,0.004,4.17,9.0,311.2,65.8,8,16.9,79.0,Moderate,2,0,0,False
2016-02-23,63.0,27.0,39.0,79.0,21.0,79.0,31.72,26.0,28.33,32.17,76.0,80.1,0.005,4.17,13.9,290.0,68.9,9,20.1,66.0,Moderate,2,1,1,False
2016-02-24,66.0,27.0,33.0,60.0,14.0,66.0,30.0,24.0,27.89,32.0,76.6,83.7,0.073,8.33,15.0,309.3,69.6,6,15.2,62.0,Moderate,2,2,2,False
2016-02-25,46.0,26.0,33.0,62.0,15.0,62.0,29.89,24.0,26.28,27.94,76.6,92.1,5.314,25.0,13.9,306.5,80.0,8,16.7,57.0,Moderate,2,3,3,False
2016-02-26,49.0,27.0,32.0,57.0,18.0,57.0,30.39,24.0,27.0,29.11,75.3,85.2,4.011,16.67,8.1,285.1,69.8,8,18.6,57.0,Moderate,2,4,4,False
2016-02-27,55.0,27.0,37.0,57.0,12.0,57.0,31.72,25.0,28.39,32.0,75.5,78.7,0.011,12.5,8.1,318.7,67.3,7,19.4,70.0,Moderate,2,5,5,True
2016-02-28,46.0,26.0,26.0,70.0,12.0,70.0,29.0,24.0,26.78,29.56,77.1,90.7,2.322,20.83,11.4,270.9,76.8,2,5.4,60.0,Moderate,2,6,6,True
2016-02-29,53.0,26.0,30.0,60.0,15.0,60.0,30.39,24.83,26.56,28.39,76.6,90.5,0.52,29.17,15.9,293.6,77.8,5,12.3,59.0,Moderate,2,0,0,False
2016-03-01,27.0,26.0,27.0,59.0,11.0,59.0,30.11,24.0,27.06,29.78,76.0,86.5,0.536,20.83,10.3,305.9,75.1,5,11.7,52.0,Moderate,3,1,1,False
2016-03-02,52.0,26.0,32.0,51.0,14.0,52.0,30.33,25.0,27.22,30.11,76.7,87.1,1.184,16.67,12.8,298.4,69.0,8,16.0,54.0,Moderate,3,2,2,False
2016-03-03,52.0,26.0,54.0,52.0,16.0,54.0,31.56,24.0,28.06,31.67,76.2,82.0,0.209,12.5,12.6,304.1,56.9,8,18.3,68.0,Moderate,3,3,3,False
2016-03-04,68.0,26.0,40.0,54.0,12.0,68.0,31.39,25.22,28.44,32.83,76.9,82.1,0.499,16.67,11.2,299.5,62.8,8,19.1,58.0,Moderate,3,4,4,False
2016-03-05,53.0,26.0,30.0,58.0,12.0,58.0,31.72,25.0,28.11,32.0,76.8,83.4,1.29,12.5,9.2,306.7,73.8,7,16.7,80.0,Moderate,3,5,5,True
2016-03-06,80.0,26.0,43.0,72.0,16.0,80.0,32.39,25.28,28.22,31.83,77.0,83.7,0.469,16.67,10.0,310.0,68.0,9,20.7,102.0,Unhealthy,3,6,6,True
2016-03-07,54.0,26.0,31.0,102.0,18.0,102.0,32.39,25.0,28.67,33.17,77.2,82.1,0.0,0.0,9.6,9.4,49.9,9,23.5,81.0,Moderate,3,0,0,False
2016-03-08,74.0,26.0,28.0,81.0,17.0,81.0,31.83,26.0,28.61,33.78,77.4,82.4,0.195,12.5,8.9,267.3,56.3,8,19.3,99.0,Moderate,3,1,1,False
2016-03-09,80.0,26.0,39.0,99.0,18.0,99.0,32.72,25.28,28.94,33.44,76.5,79.0,0.028,8.33,12.5,313.5,49.5,8,18.2,133.0,Unhealthy,3,2,2,False
2016-03-10,71.0,26.0,39.0,133.0,25.0,133.0,32.72,25.0,28.94,33.67,77.1,80.6,0.001,4.17,13.6,321.9,59.3,9,21.7,98.0,Moderate,3,3,3,False
2016-03-11,65.0,26.0,33.0,98.0,20.0,98.0,32.39,25.67,28.56,32.89,76.4,80.1,0.039,8.33,9.2,308.7,63.5,7,19.4,109.0,Unhealthy,3,4,4,False
2016-03-12,61.0,26.0,36.0,109.0,24.0,109.0,32.72,25.28,28.89,33.11,75.4,76.0,0.035,4.17,13.5,255.8,54.4,8,18.9,78.0,Moderate,3,5,5,True
2016-03-13,65.0,26.0,35.0,78.0,15.0,78.0,32.72,25.28,28.83,33.17,75.9,77.6,0.0,0.0,10.0,276.4,44.4,8,19.4,74.0,Moderate,3,6,6,True
2016-03-14,74.0,26.0,43.0,71.0,21.0,74.0,31.72,26.17,28.78,33.78,76.7,79.6,0.114,4.17,11.7,304.1,59.5,9,20.6,173.0,Unhealthy,3,0,0,False
2016-03-15,71.0,26.0,37.0,173.0,20.0,173.0,33.11,25.0,27.67,30.17,76.1,84.0,1.586,12.5,10.6,1.9,60.8,9,23.5,119.0,Unhealthy,3,1,1,False
2016-03-16,60.0,26.0,40.0,119.0,19.0,119.0,32.67,25.0,28.56,32.89,77.4,83.3,0.197,8.33,9.1,300.3,61.4,9,18.9,120.0,Unhealthy,3,2,2,False
2016-03-17,64.0,26.0,30.0,120.0,16.0,120.0,33.39,26.0,29.17,34.28,77.4,80.5,0.348,8.33,10.7,312.4,52.0,8,20.8,61.0,Moderate,3,3,3,False
2016-03-18,55.0,26.0,44.0,61.0,15.0,61.0,30.39,26.0,28.0,32.0,76.9,83.9,0.118,4.17,9.0,295.4,60.6,6,11.7,91.0,Moderate,3,4,4,False
2016-03-19,65.0,26.0,26.0,91.0,14.0,91.0,32.39,26.0,29.0,34.33,77.7,81.6,0.008,4.17,11.2,326.3,61.9,8,19.5,91.0,Moderate,3,5,5,True
2016-03-20,62.0,26.0,30.0,91.0,11.0,91.0,33.0,26.11,28.78,34.33,78.9,85.8,3.455,12.5,13.9,324.1,57.6,8,18.2,66.0,Moderate,3,6,6,True
2016-03-21,66.0,26.0,35.0,63.0,14.0,66.0,30.56,25.83,28.44,34.0,78.4,85.7,0.008,8.33,5.8,279.7,68.4,7,15.0,76.0,Moderate,3,0,0,False
2016-03-22,76.0,26.0,45.0,74.0,21.0,76.0,32.0,25.0,27.72,30.89,77.0,86.0,0.473,12.5,13.5,269.4,58.5,7,13.6,74.0,Moderate,3,1,1,False
2016-03-23,39.0,26.0,25.0,74.0,10.0,74.0,31.67,24.94,27.72,30.5,75.2,81.2,0.51,37.5,14.1,256.8,46.6,8,15.1,122.0,Unhealthy,3,2,2,False
2016-03-24,52.0,26.0,27.0,122.0,14.0,122.0,33.39,25.0,28.89,32.44,74.6,74.5,0.0,0.0,12.1,77.5,60.1,8,19.3,136.0,Unhealthy,3,3,3,False
2016-03-25,72.0,26.0,50.0,136.0,15.0,136.0,32.0,26.28,28.5,33.28,76.7,81.0,0.0,0.0,10.3,175.4,66.3,8,16.2,128.0,Unhealthy,3,4,4,False
2016-03-26,72.0,26.0,55.0,128.0,16.0,128.0,31.39,24.28,27.89,31.61,76.6,83.7,0.393,12.5,10.0,356.9,57.6,7,15.8,88.0,Moderate,3,5,5,True
2016-03-27,63.0,26.0,53.0,88.0,20.0,88.0,31.72,25.28,28.78,33.06,76.2,78.8,0.0,0.0,10.1,337.8,41.7,9,22.2,63.0,Moderate,3,6,6,True
2016-03-28,63.0,21.0,38.0,63.0,11.0,63.0,31.67,24.0,28.67,33.17,76.1,78.8,0.0,0.0,11.1,301.1,50.2,8,20.5,93.0,Moderate,3,0,0,False
2016-03-29,58.0,26.0,30.0,93.0,12.0,93.0,31.72,25.39,28.06,31.28,75.5,80.1,2.203,16.67,15.2,286.7,61.7,7,16.3,74.0,Moderate,3,1,1,False
2016-03-30,74.0,27.0,50.0,64.0,20.0,74.0,29.72,25.0,27.83,31.39,75.7,81.3,0.0,0.0,7.8,311.7,63.3,5,14.8,81.0,Moderate,3,2,2,False
2016-03-31,81.0,26.0,52.0,64.0,13.0,81.0,29.72,26.0,27.61,31.22,76.7,84.9,0.244,12.5,8.1,340.3,62.1,8,17.2,84.0,Moderate,3,3,3,False
2016-04-01,81.0,27.0,66.0,84.0,17.0,84.0,32.39,25.0,28.28,31.67,75.8,80.3,0.003,4.17,9.2,340.8,57.1,8,16.7,102.0,Unhealthy,4,4,4,False
2016-04-02,57.0,26.0,37.0,102.0,13.0,102.0,33.11,25.0,28.06,31.11,75.6,80.9,0.001,4.17,10.4,345.4,57.1,8,17.0,80.0,Moderate,4,5,5,True
2016-04-03,58.0,27.0,48.0,80.0,15.0,80.0,33.11,25.0,29.06,33.22,75.9,76.8,0.0,0.0,17.8,32.0,43.7,9,21.7,66.0,Moderate,4,6,6,True
2016-04-04,50.0,27.0,39.0,66.0,11.0,66.0,34.11,25.72,29.5,34.11,75.8,74.9,0.003,8.33,15.0,88.9,50.5,9,20.4,66.0,Moderate,4,0,0,False
2016-04-05,54.0,27.0,40.0,66.0,11.0,66.0,33.33,25.44,29.61,34.61,76.4,75.9,0.008,4.17,12.1,99.1,62.0,8,19.2,98.0,Moderate,4,1,1,False
2016-04-06,67.0,27.0,42.0,98.0,12.0,98.0,33.72,26.0,29.56,33.94,75.7,74.5,0.0,0.0,14.2,61.8,52.4,9,21.7,77.0,Moderate,4,2,2,False
2016-04-07,64.0,27.0,44.0,77.0,16.0,77.0,33.06,25.72,29.44,34.33,76.6,76.9,0.002,4.17,10.4,70.6,48.9,8,20.1,65.0,Moderate,4,3,3,False
2016-04-08,65.0,27.0,38.0,49.0,19.0,65.0,32.83,26.72,29.22,34.72,77.3,79.5,0.0,0.0,9.2,290.9,51.9,8,19.6,94.0,Moderate,4,4,4,False
2016-04-09,70.0,26.0,39.0,94.0,22.0,94.0,33.39,26.0,28.89,32.61,76.0,78.0,0.116,4.17,14.4,251.6,61.5,9,19.6,76.0,Moderate,4,5,5,True
2016-04-10,61.0,26.0,45.0,76.0,16.0,76.0,32.72,25.28,29.17,33.67,76.4,77.7,0.0,0.0,9.2,45.0,59.1,8,15.8,139.0,Unhealthy,4,6,6,True
2016-04-11,80.0,27.0,44.0,139.0,13.0,139.0,32.72,26.06,29.39,34.56,77.0,77.9,0.008,4.17,8.8,323.9,56.4,8,19.2,99.0,Moderate,4,0,0,False
2016-04-12,99.0,27.0,59.0,85.0,16.0,99.0,32.67,26.28,28.94,34.0,77.0,79.9,0.001,4.17,10.0,313.4,46.7,7,16.5,71.0,Moderate,4,1,1,False
2016-04-13,71.0,26.0,34.0,70.0,20.0,71.0,34.61,26.0,29.28,34.0,76.1,76.3,0.0,0.0,11.8,260.3,47.8,8,19.1,123.0,Unhealthy,4,2,2,False
2016-04-14,73.0,27.0,41.0,123.0,18.0,123.0,33.72,25.5,28.89,32.72,75.5,77.1,0.123,8.33,10.7,244.6,59.5,9,20.1,117.0,Unhealthy,4,3,3,False
2016-04-15,65.0,27.0,62.0,117.0,22.0,117.0,31.83,26.0,28.28,32.44,76.9,82.8,0.078,4.17,11.4,81.2,68.7,7,15.5,78.0,Moderate,4,4,4,False
2016-04-16,69.0,27.0,58.0,78.0,16.0,78.0,33.56,26.0,29.78,35.06,77.2,77.2,0.0,0.0,10.7,72.0,46.9,7,17.9,78.0,Moderate,4,5,5,True
2016-04-17,65.0,27.0,38.0,78.0,11.0,78.0,32.83,24.89,28.44,33.11,77.6,83.9,1.89,16.67,14.4,99.4,63.2,7,13.6,93.0,Moderate,4,6,6,True
2016-04-18,47.0,27.0,47.0,93.0,17.0,93.0,33.72,25.0,28.89,33.06,76.3,79.1,0.532,4.17,12.8,67.1,51.3,9,20.5,80.0,Moderate,4,0,0,False
2016-04-19,54.0,27.0,46.0,80.0,16.0,80.0,33.72,26.0,29.11,34.06,77.0,79.1,0.163,12.5,11.3,79.7,54.6,9,19.1,99.0,Moderate,4,1,1,False
2016-04-20,55.0,27.0,38.0,99.0,15.0,99.0,31.72,24.61,27.89,31.44,76.8,84.4,0.279,16.67,9.2,22.9,75.0,9,19.1,135.0,Unhealthy,4,2,2,False
2016-04-21,51.0,27.0,51.0,135.0,20.0,135.0,31.72,24.28,27.83,31.39,76.8,84.7,4.68,16.67,10.7,44.6,66.1,4,9.3,69.0,Moderate,4,3,3,False
2016-04-22,53.0,28.0,41.0,69.0,17.0,69.0,33.39,26.0,29.22,33.67,76.4,77.2,0.044,12.5,15.8,93.8,53.2,7,14.9,65.0,Moderate,4,4,4,False
2016-04-23,55.0,30.0,32.0,65.0,8.0,65.0,33.06,27.0,29.33,34.56,76.5,77.0,0.002,4.17,13.9,94.5,56.8,7,18.0,63.0,Moderate,4,5,5,True
2016-04-24,63.0,28.0,39.0,57.0,11.0,63.0,32.72,25.22,29.39,34.28,76.5,76.9,0.031,4.17,14.9,92.5,48.4,8,17.8,66.0,Moderate,4,6,6,True
2016-04-25,65.0,29.0,42.0,66.0,12.0,66.0,33.33,26.0,29.33,34.22,76.8,78.0,0.0,0.0,18.6,77.5,53.4,7,15.7,71.0,Moderate,4,0,0,False
2016-04-26,71.0,29.0,49.0,67.0,18.0,71.0,28.83,25.72,27.44,30.83,76.8,86.3,0.083,20.83,14.7,73.4,68.3,7,14.2,76.0,Moderate,4,1,1,False
2016-04-27,66.0,30.0,50.0,76.0,15.0,76.0,32.72,25.28,28.72,32.28,75.7,78.2,0.001,4.17,11.7,110.1,54.3,7,16.9,82.0,Moderate,4,2,2,False
2016-04-28,60.0,30.0,47.0,82.0,19.0,82.0,33.39,25.28,29.22,33.78,76.0,76.4,0.0,0.0,13.9,78.9,46.4,7,18.1,74.0,Moderate,4,3,3,False
2016-04-29,57.0,30.0,39.0,74.0,10.0,74.0,33.83,26.0,29.11,33.17,75.4,75.6,0.008,8.33,12.4,101.1,50.0,6,14.1,71.0,Moderate,4,4,4,False
2016-04-30,71.0,31.0,69.0,66.0,15.0,71.0,32.83,26.0,28.67,32.67,76.0,78.8,0.045,12.5,12.1,80.0,59.1,7,16.7,69.0,Moderate,4,5,5,True
2016-05-01,57.0,29.0,69.0,62.0,16.0,69.0,32.11,25.28,28.56,32.56,76.6,80.7,0.0,0.0,17.2,70.6,56.6,7,15.8,66.0,Moderate,5,6,6,True
2016-05-02,64.0,29.0,49.0,66.0,12.0,66.0,34.0,26.0,29.39,34.0,76.3,76.7,0.0,0.0,15.2,75.2,51.3,7,17.6,70.0,Moderate,5,0,0,False
2016-05-03,70.0,29.0,48.0,54.0,10.0,70.0,33.28,26.0,29.61,34.83,77.0,77.3,0.124,12.5,13.9,94.9,46.4,7,15.4,78.0,Moderate,5,1,1,False
2016-05-04,78.0,30.0,71.0,56.0,10.0,78.0,33.0,26.28,30.0,35.83,77.3,76.5,0.0,0.0,14.0,73.7,46.1,7,18.1,63.0,Moderate,5,2,2,False
2016-05-05,63.0,28.0,52.0,46.0,9.0,63.0,30.0,26.61,28.22,32.94,77.1,83.2,0.246,8.33,9.5,81.3,52.7,5,10.5,128.0,Unhealthy,5,3,3,False
2016-05-06,81.0,29.0,78.0,128.0,16.0,128.0,33.39,25.28,28.89,32.94,76.5,79.4,0.0,0.0,9.2,349.9,45.0,8,19.0,93.0,Moderate,5,4,4,False
2016-05-07,77.0,28.0,46.0,93.0,13.0,93.0,32.39,25.72,29.0,33.72,76.7,79.2,0.0,0.0,7.7,168.4,48.2,8,19.6,84.0,Moderate,5,5,5,True
2016-05-08,74.0,28.0,67.0,84.0,22.0,84.0,32.56,26.0,28.28,31.89,76.4,81.6,1.312,8.33,13.5,249.5,54.6,7,16.5,145.0,Unhealthy,5,6,6,True
2016-05-09,64.0,29.0,50.0,145.0,16.0,145.0,32.06,25.06,28.67,32.56,75.9,78.5,0.042,8.33,9.2,172.5,61.6,7,15.0,86.0,Moderate,5,0,0,False
2016-05-10,76.0,29.0,46.0,86.0,19.0,86.0,33.33,25.28,29.5,34.56,76.5,76.4,0.0,0.0,11.4,78.1,41.3,8,20.0,84.0,Moderate,5,1,1,False
2016-05-11,71.0,30.0,39.0,84.0,10.0,84.0,33.39,26.28,29.94,35.5,76.9,75.6,0.0,0.0,12.1,115.7,44.0,7,17.9,88.0,Moderate,5,2,2,False
2016-05-12,88.0,30.0,57.0,87.0,14.0,88.0,33.72,26.0,29.72,34.56,75.9,73.9,0.002,4.17,10.1,121.4,58.0,8,19.0,94.0,Moderate,5,3,3,False
2016-05-13,63.0,29.0,45.0,94.0,13.0,94.0,34.61,26.0,29.94,34.89,76.3,74.4,0.043,8.33,17.2,105.4,59.1,8,19.2,104.0,Unhealthy,5,4,4,False
2016-05-14,56.0,28.0,39.0,104.0,17.0,104.0,33.11,26.0,28.94,33.67,77.3,81.3,0.696,12.5,13.3,90.9,65.9,5,13.6,73.0,Moderate,5,5,5,True
2016-05-15,62.0,30.0,46.0,73.0,8.0,73.0,33.83,26.28,29.83,35.67,77.6,77.9,0.0,0.0,12.0,68.0,46.6,6,16.3,92.0,Moderate,5,6,6,True
2016-05-16,43.0,29.0,39.0,92.0,21.0,92.0,32.06,26.61,29.17,34.56,77.3,79.6,0.171,8.33,5.9,264.5,53.6,7,16.5,83.0,Moderate,5,0,0,False
2016-05-17,78.0,29.0,56.0,83.0,21.0,83.0,31.39,26.28,28.28,32.72,77.4,83.8,0.024,4.17,7.9,275.1,59.3,6,16.3,78.0,Moderate,5,1,1,False
2016-05-18,78.0,30.0,61.0,72.0,18.0,78.0,33.06,26.0,29.39,34.56,77.2,78.5,0.002,4.17,12.5,68.0,43.8,8,19.9,155.0,Unhealthy,5,2,2,False
2016-05-19,69.0,29.0,56.0,155.0,12.0,155.0,33.72,27.0,30.17,35.94,76.8,74.6,0.0,0.0,9.2,306.8,46.7,7,19.5,90.0,Moderate,5,3,3,False
