name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Jakarta, Indonesia",2020-02-15,90.9,77,82.2,106.2,77,88.1,76.3,83,0.002,100,4.17,rain,0,0,16.6,9.8,294.9,1010.9,50.3,3.2,230.6,19.9,9,,2020-02-15T05:57:44,2020-02-15T18:15:56,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-16,87.3,77,79.5,99.6,77,82,75.5,87.7,1.089,100,16.67,rain,0,0,28.9,13.9,265.3,1011.6,60.6,3.2,181,15.7,8,,2020-02-16T05:57:51,2020-02-16T18:15:43,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-17,89.6,77,80.1,98.2,77,82.5,74.7,84.3,0.284,100,8.33,rain,0,0,21.9,12.8,239,1011.4,64.8,3.6,162.1,14,6,,2020-02-17T05:57:57,2020-02-17T18:15:30,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-18,87.3,76.5,80.9,97,76.5,84.7,75,82.8,0.653,100,8.33,rain,0,0,18.1,13.9,305.9,1011.2,65.1,3.6,184.2,16,8,,2020-02-18T05:58:02,2020-02-18T18:15:16,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-19,86,75.2,80.3,97.2,75.2,84.3,75.4,85.6,0.291,100,16.67,rain,0,0,18.6,15,297.3,1010.8,61.7,3.6,156.4,13.5,6,,2020-02-19T05:58:07,2020-02-19T18:15:01,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-20,86.6,75.2,80.2,98.2,75.2,83.8,75.8,87.1,2.737,100,20.83,rain,0,0,26.8,16.1,297.8,1010.8,73.8,3.3,187.8,16.2,8,,2020-02-20T05:58:11,2020-02-20T18:14:45,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,96739099999,WIII,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-21,88.4,75.2,81.7,97.7,75.2,87,75.5,82.5,0.504,100,16.67,rain,0,0,19,13.9,318.7,1011.5,64.2,3.8,195.6,16.9,7,,2020-02-21T05:58:15,2020-02-21T18:14:29,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-22,89.1,75.7,82.8,100.2,75.7,90.2,76.6,82.5,2.205,100,12.5,rain,0,0,20.8,12.8,333.3,1011.6,57.9,4.1,242.6,20.9,9,,2020-02-22T05:58:17,2020-02-22T18:14:12,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-23,87.8,78.1,83,98.2,78.1,90.6,76.8,82.2,4.893,100,16.67,rain,0,0,28.9,17.2,323.2,1010.5,72.6,3.7,245.3,21,8,,2020-02-23T05:58:20,2020-02-23T18:13:54,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-24,86.5,77,83.4,98.5,77,92.5,77.1,81.8,0.408,100,20.83,rain,0,0,25.3,17.9,324,1009.6,71.4,3.7,203.2,17.6,7,,2020-02-24T05:58:22,2020-02-24T18:13:36,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-25,85.7,76.8,81,96,76.8,85.7,76.2,85.9,10.597,100,16.67,rain,0,0,20.8,9.2,293.5,1010.2,71.2,3.3,154.6,13.4,6,,2020-02-25T05:58:23,2020-02-25T18:13:17,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-26,88,77,82.8,97.9,77,89.5,75.7,79.6,0,0,0,,0,0,17.7,11.1,344.3,1009.8,54.5,3.6,235.9,20.3,9,,2020-02-26T05:58:23,2020-02-26T18:12:57,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-27,86.1,77.5,82.2,98.7,77.5,89.5,77.5,86.1,1.006,100,12.5,rain,0,0,17.4,12.5,313.4,1009.5,65.1,3.7,228,19.7,8,,2020-02-27T05:58:23,2020-02-27T18:12:37,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-28,87.8,77,81.8,100.8,77,88.5,76.6,84.7,1.266,100,20.83,rain,0,0,17.4,13.5,328.5,1008.7,69,3.7,223,19.4,9,,2020-02-28T05:58:23,2020-02-28T18:12:16,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-02-29,83.1,77.5,80.9,93.5,77.5,86.9,76.9,87.7,0.288,100,20.83,rain,0,0,18.3,8.3,288.8,1008.1,58.6,3.4,207.6,17.9,8,,2020-02-29T05:58:22,2020-02-29T18:11:55,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-03-01,86,77,81.1,97.5,77,86.4,77.3,88.6,2.572,100,25,rain,0,0,16.1,13.6,319.9,1008.8,67.2,3.2,131,11.4,5,,2020-03-01T05:58:20,2020-03-01T18:11:33,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-03-02,90.9,77,83.1,102,77,89.5,76.2,80.8,0.083,100,12.5,rain,0,0,21.9,10.3,322.9,1008.8,53.5,3.8,237.2,20.5,8,,2020-03-02T05:58:19,2020-03-02T18:11:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-03-03,90.3,77.5,84,101.2,77.5,92.3,76.4,78.7,0.005,100,4.17,rain,0,0,16.6,17.8,336,1009.5,50.5,3.6,244.4,21.1,9,,2020-03-03T05:58:16,2020-03-03T18:10:48,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-03-04,88.5,77,82.1,100.8,77,89.4,76.4,83.1,0.345,100,12.5,rain,0,0,17,15,275.6,1009.8,66.7,3.3,175.6,15.1,7,,2020-03-04T05:58:13,2020-03-04T18:10:24,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2020-03-05,87.3,77,80.9,94.1,77,84.1,73.6,79.6,0.497,100,8.33,rain,0,0,17.2,11.8,262.3,1010.3,63.8,3.8,94.7,8.1,5,,2020-03-05T05:58:10,2020-03-05T18:10:01,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
