name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Jakarta, Indonesia",2021-03-13,88.3,76.5,82.7,97.8,76.5,87.9,73.1,73.6,0.114,100,4.17,rain,0,0,20.4,12.8,285.5,1010.6,51.5,3.9,227.6,19.6,8,,2021-03-13T05:57:33,2021-03-13T18:06:43,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-03-14,87.3,75.2,81.2,94.5,75.2,84.8,72.9,76.4,0.221,100,4.17,rain,0,0,30.0,11.4,287.7,1009.4,49.8,3.9,216.2,18.8,8,,2021-03-14T05:57:27,2021-03-14T18:06:16,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-03-15,85.5,77.0,81.5,93.9,77.0,86.2,75.0,81.4,0.0,0,0.0,,0,0,15.2,7.9,267.9,1009.0,52.0,3.4,273.6,23.5,9,,2021-03-15T05:57:20,2021-03-15T18:05:49,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-03-16,89.1,77.5,81.9,99.5,77.5,86.1,74.3,78.4,0.532,100,4.17,rain,0,0,13.9,11.4,317.9,1009.3,56.8,3.3,212.9,18.4,8,,2021-03-16T05:57:13,2021-03-16T18:05:22,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-03-17,89.6,75.7,83.2,97.1,75.7,87.6,72.9,72.6,0.0,0,0.0,,0,0,13.0,17.7,329.5,1008.3,41.0,3.4,279.6,24.2,10,,2021-03-17T05:57:06,2021-03-17T18:04:54,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-03-18,90.1,77.5,83.9,100.6,77.5,89.8,73.3,71.4,0.001,100,4.17,rain,0,0,13.2,10.3,282.2,1008.0,51.7,3.6,258.0,22.4,9,,2021-03-18T05:56:59,2021-03-18T18:04:27,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"Jakarta, Indonesia",2021-03-19,88.5,77.5,83.1,99.9,77.5,89.4,74.5,75.7,0.001,100,4.17,rain,0,0,14.3,14.9,269.6,1007.8,53.4,3.7,222.5,19.0,7,,2021-03-19T05:56:52,2021-03-19T18:03:59,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-03-20,91.4,78.3,83.2,100.5,78.3,88.7,73.9,74.3,0.153,100,4.17,rain,0,0,13.4,11.2,286.1,1006.5,47.0,3.9,284.5,24.6,10,,2021-03-20T05:56:45,2021-03-20T18:03:31,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-03-21,91.4,77.0,83.4,102.6,77.0,89.1,74.4,75.1,0.0,0,0.0,,0,0,20.8,16.4,287.7,1006.5,45.0,4.3,244.9,21.3,9,,2021-03-21T05:56:37,2021-03-21T18:03:03,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-03-22,91.4,76.3,84.0,102.7,76.3,89.3,73.0,70.7,0.008,100,4.17,rain,0,0,21.9,16.8,278.2,1008.3,48.1,4.4,239.7,20.7,9,,2021-03-22T05:56:29,2021-03-22T18:02:35,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"5BZE2,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-03-23,91.4,77.0,84.2,100.7,77.0,89.9,73.4,71.0,0.001,100,4.17,rain,0,0,19.9,17.3,257.9,1008.4,48.4,4.0,229.9,19.9,8,,2021-03-23T05:56:22,2021-03-23T18:02:07,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
